blob_name,gender,age,emotion_class,emotion_subclass
negative/angry/453e7619-5dad-44eb-b44e-a84faca597e9.wav,M,,negative,angry
negative/angry/fb0d52f0-5a92-4bdb-aae4-f65e7b4a69d0.wav,M,,negative,angry
negative/angry/dc70ca57-174d-4a8f-926e-ce6f8d686a27.wav,M,,negative,angry
negative/angry/dc2cca05-8a7d-422a-8aa3-0131c0569a0a.wav,M,,negative,angry
negative/angry/d80a96e6-1af8-4cb8-9291-7ab2f9e4efbb.wav,M,,negative,angry
negative/angry/51f8967e-6d06-4a99-b4b9-feab467b9faa.wav,M,,negative,angry
negative/angry/a78ff796-4d7d-4919-a029-b01216e1ba88.wav,M,,negative,angry
negative/angry/3d303255-42f7-4b98-a3f5-17f4d23bd5b9.wav,M,,negative,angry
negative/angry/80155f66-bca5-4ddb-bd6d-14596c1dbab1.wav,M,,negative,angry
negative/angry/6b4ef0bc-8bd7-4ac5-9dcf-607dc9d1721a.wav,M,,negative,angry
negative/angry/df52c878-e650-494b-a59e-f1a5ff7de813.wav,M,,negative,angry
negative/angry/17a90e6d-9231-40b4-abcd-93264c2a1b13.wav,M,,negative,angry
negative/angry/b1473fb0-0466-4faf-8b03-98198f14e790.wav,M,,negative,angry
negative/angry/fadf2e1c-9d33-4e6d-ac0b-4ce255d04364.wav,M,,negative,angry
negative/angry/0aa4494d-fe94-49bf-82a2-72c3e296f9dc.wav,M,,negative,angry
negative/angry/17b0dfeb-55ff-42d8-9aab-84f1804d5ac4.wav,M,,negative,angry
negative/angry/bd223bfc-8519-482e-8a8d-d00bf1cd0dff.wav,M,,negative,angry
negative/angry/ea9c6b6b-89eb-4c02-aa52-a8fa1aa31b8f.wav,M,,negative,angry
negative/angry/cee4892c-256c-4315-b979-5a85c287089e.wav,M,,negative,angry
negative/angry/34331cf0-0dc1-498d-8596-0bfe3042adcd.wav,M,,negative,angry
negative/angry/f8e42d0c-d8e6-45ac-b6ed-e927cbb9c240.wav,M,,negative,angry
negative/angry/242a0e25-4c53-4de3-8b86-420e2406a233.wav,M,,negative,angry
negative/angry/9cd291c3-9ee7-49ed-826a-eec1bd4610de.wav,M,,negative,angry
negative/angry/169f51b1-ca0e-4bdb-bc44-bff482196878.wav,M,,negative,angry
negative/angry/fa70a6f7-66dd-4f7c-8127-4106cdec259f.wav,M,,negative,angry
negative/angry/afcb3365-7ae8-41bb-a004-82624dd2d8f7.wav,M,,negative,angry
negative/angry/538669ea-96a7-433e-9b2f-b3919a3e6565.wav,M,,negative,angry
negative/angry/c9f6b268-6edf-485b-ac3e-455eae91195e.wav,M,,negative,angry
negative/angry/95f93018-7c9c-4706-9f81-b8e105c35c75.wav,M,,negative,angry
negative/angry/69c940c5-3742-4c75-b452-b61b9f34fb6b.wav,M,,negative,angry
negative/angry/5f426d11-4860-4711-bfdf-71ff4373ded5.wav,M,,negative,angry
negative/angry/99a7e04e-3b8d-42d1-b3d1-c5af764b5022.wav,M,,negative,angry
negative/angry/a6f4a80a-7f28-41b8-80fd-604c8db312c8.wav,M,,negative,angry
negative/angry/3ee1a8f6-e8ee-4689-9b14-0f48bbfffd3b.wav,M,,negative,angry
negative/angry/065d8d20-0e44-4682-9e52-5e68124ba409.wav,M,,negative,angry
negative/angry/b7107cc1-fe12-4f0c-9513-978dc16b24c2.wav,M,,negative,angry
negative/angry/0b2547c2-b4f9-457a-a779-fe7e9132a266.wav,M,,negative,angry
negative/angry/05f227a1-5c76-488b-a5d7-05c870da5110.wav,M,,negative,angry
negative/angry/ded9aebd-30e1-4636-8b36-96c842249967.wav,M,,negative,angry
negative/angry/03fd762b-2d93-41ee-9d7e-9c3704aa3065.wav,M,,negative,angry
negative/angry/e86cc044-394c-40d4-b74e-d132cb5bedbf.wav,M,,negative,angry
negative/angry/674a40a6-7a6c-407b-803b-d08d5a4c8825.wav,M,,negative,angry
negative/angry/7d25ce72-716c-4143-a53f-dd60f3e22e94.wav,M,,negative,angry
negative/angry/f219cc3b-98a9-4dff-a25b-c29b1c316f47.wav,M,,negative,angry
negative/angry/33ec2f4a-5032-41be-a86c-2ff41a41b7d3.wav,M,,negative,angry
negative/angry/a9801f77-fbc7-45b1-b8cb-a04b5e116a0e.wav,M,,negative,angry
negative/angry/aba3fb0c-fe01-4e80-a9e3-9d3b7d4fbcd9.wav,M,,negative,angry
negative/angry/2fb6c8c3-a61f-414e-b295-c0f11d264fcf.wav,M,,negative,angry
negative/angry/24d581a7-e58d-4f34-adc8-426b4f5bf364.wav,M,,negative,angry
negative/angry/a62e0317-ecd4-4a02-b6d1-c23bb731c9ac.wav,M,,negative,angry
negative/angry/e0bd0d44-4880-4dea-a4ac-07c7ad546357.wav,M,,negative,angry
negative/angry/826ee852-bc6a-42ba-a6e5-b78cf038867b.wav,M,,negative,angry
negative/angry/f451449d-f164-4f67-921d-9cd44f0a2a36.wav,M,,negative,angry
negative/angry/0c419950-0293-46ef-9b11-b2bc17e7962c.wav,M,,negative,angry
negative/angry/a4323bcc-81b5-439a-9ea2-a1fa2b33ec6b.wav,M,,negative,angry
negative/angry/fc11f50b-992f-40b0-a72e-4d4ccc3c1318.wav,M,,negative,angry
negative/angry/533d27ef-3e2a-4e23-959c-63517f74da00.wav,M,,negative,angry
negative/angry/7a794eef-f2df-4546-9d64-5b6051402a29.wav,M,,negative,angry
negative/angry/9102d35f-95d6-4ba0-98b9-b0c9e88224ea.wav,M,,negative,angry
negative/angry/4c989e88-86c6-47f6-afb0-c1769a09fb69.wav,M,,negative,angry
negative/angry/d415241c-7518-4934-b6e9-deda67992680.wav,M,,negative,angry
negative/angry/1d241bf7-adf6-4899-8e1c-49cef063a672.wav,M,,negative,angry
negative/angry/8632a6d5-d34f-4973-99fb-dfa1a1a42f60.wav,M,,negative,angry
negative/angry/94453565-cef9-4031-abaf-ecbb314d8cc1.wav,M,,negative,angry
negative/angry/d056b341-45fb-4325-94e6-1a95cbb1f427.wav,M,,negative,angry
negative/angry/1c88708d-4810-4066-b9d4-fd7ac856bbdf.wav,M,,negative,angry
negative/angry/ce8e5a90-0eb9-4bf8-8b06-9ed0b6b62002.wav,M,,negative,angry
negative/angry/6a8a96ad-ef4f-4233-8a2c-40ac5496d250.wav,M,,negative,angry
negative/angry/a7d2f2d9-f57d-4818-aa3a-00da603a61b3.wav,M,,negative,angry
negative/angry/970a79f8-aeda-45d8-a616-615cdd008fbf.wav,M,,negative,angry
negative/angry/bbefe638-8342-4c40-8440-ca81fef083d5.wav,M,,negative,angry
negative/angry/a76b57e4-d17d-41bb-95f9-9172d90649a8.wav,M,,negative,angry
negative/angry/bc0d0322-eda9-48b3-9845-ae53acf6b54a.wav,M,,negative,angry
negative/angry/c2612b96-8908-4238-991b-209b36acd9c7.wav,M,,negative,angry
negative/angry/2f94deb0-02be-45aa-9872-a9c5835c51e5.wav,M,,negative,angry
negative/angry/2d9f3c0f-a17a-41f7-af58-3490164f0b86.wav,M,,negative,angry
negative/angry/7e250224-448b-458c-9fc3-dc2e1ef870dc.wav,M,,negative,angry
negative/angry/b3617661-0f69-445b-9732-6b609402b6f1.wav,M,,negative,angry
negative/angry/bf8bd3fa-262e-4457-b7d9-d7685b226c02.wav,M,,negative,angry
negative/angry/2760125e-c8c4-4fb6-ae6e-8443bdcff087.wav,M,,negative,angry
negative/angry/12e8f47f-b1c4-417d-bdc4-a38dcf41fa07.wav,M,,negative,angry
negative/angry/f3397a9f-b2c2-4388-9b5f-7632f9baa6c8.wav,M,,negative,angry
negative/angry/c1c61d1a-8704-41d4-9f38-d4ecc19572a9.wav,M,,negative,angry
negative/angry/aa9e4bbe-fa0d-4e20-b332-ccf9fb47cf8d.wav,M,,negative,angry
negative/angry/ba28a101-944d-49aa-b173-e6f25b8fff85.wav,M,,negative,angry
negative/angry/66a2067f-7edd-4173-9dbf-0b0a6070b255.wav,M,,negative,angry
negative/angry/2b866456-a4ca-4ac5-9627-52dbd7f2b348.wav,M,,negative,angry
negative/angry/504a3674-4930-4209-b8b6-e23d7fca7268.wav,M,,negative,angry
negative/angry/c0faad40-404b-4f4c-899f-b540c3166bae.wav,M,,negative,angry
negative/angry/e4c288e7-18dd-4988-b387-524266120976.wav,M,,negative,angry
negative/angry/d84b1ae6-39ee-4110-8e8f-2f7653632826.wav,M,,negative,angry
negative/angry/7be8046d-597c-4468-9fa7-1b79c017b1f3.wav,M,,negative,angry
negative/angry/b618858d-883b-486d-a19b-33f5a4c70a51.wav,M,,negative,angry
negative/angry/f2cb1ba9-4cab-4e55-a303-1b5aaec64a3f.wav,M,,negative,angry
negative/angry/fb0c7f71-5e9b-4b3f-9cdd-b5f4d8057c97.wav,M,,negative,angry
negative/angry/393bbb4c-58b9-411b-88f4-0e50fb3ae9cc.wav,M,,negative,angry
negative/angry/f0b1ec75-8135-4663-bb09-57288bbbbbf4.wav,M,,negative,angry
negative/angry/066dea48-8056-4833-800a-b5e56311ae10.wav,M,,negative,angry
negative/angry/5acc8872-e2d3-4f9e-addd-90f9410962a4.wav,M,,negative,angry
negative/angry/f64d9d02-e006-4d7a-aecb-ab6e378a8676.wav,M,,negative,angry
positive/happy/37f813ca-bf1f-4e76-a820-9103fc0c73f7.wav,F,,positive,happy
positive/happy/722507ae-96bb-4d2f-bb87-87f13746418d.wav,F,,positive,happy
positive/happy/c4ff8c6d-bbe9-4b38-98d1-e0579132c108.wav,F,,positive,happy
positive/happy/2b70e285-77af-4ce8-82a7-3bd79bfa542d.wav,F,,positive,happy
positive/happy/a8f97674-7611-4126-af05-5b28da571ee4.wav,F,,positive,happy
positive/happy/3008461f-37b5-4d5f-b74e-57987e02deb1.wav,F,,positive,happy
positive/happy/daaaf498-8b13-4d95-b9db-3bfcc20b111d.wav,F,,positive,happy
positive/happy/97be8f42-d988-496a-991e-532e2da3945d.wav,F,,positive,happy
positive/happy/9228ef11-3dee-4655-a422-f506f5c022ab.wav,F,,positive,happy
positive/happy/69c57ee6-78d2-4c4c-a277-01603da2c3a7.wav,F,,positive,happy
positive/happy/d9b2bb48-9f16-4a94-8da5-f58b6ca5cc95.wav,F,,positive,happy
positive/happy/32db4ba2-6f17-4996-9927-783b715b5446.wav,F,,positive,happy
positive/happy/3c4bbe3c-0bc6-446f-b36d-f9f6643d7f0c.wav,F,,positive,happy
positive/happy/12325bbe-ce05-469e-898f-3e058d1ae326.wav,F,,positive,happy
positive/happy/456090a7-a67d-4f8d-b869-991c86596650.wav,F,,positive,happy
positive/happy/96bd5425-b5db-4eca-b94d-360329bb7276.wav,F,,positive,happy
positive/happy/a060bf97-e0a9-4e90-b2ab-6b5e0da604b3.wav,F,,positive,happy
positive/happy/29d367f8-88a5-4020-8ac7-40066102ffc2.wav,F,,positive,happy
positive/happy/143ada08-1b66-4046-8e6d-080aa12da77b.wav,F,,positive,happy
positive/happy/25c75fd5-e224-4a8f-bd8e-a7073ebf93de.wav,F,,positive,happy
positive/happy/e5696e41-c120-406c-accb-8f5a2b8b4cfb.wav,F,,positive,happy
positive/happy/37858f9f-69c3-49ce-ba8f-a4935abadc4c.wav,F,,positive,happy
positive/happy/d20fc24a-fd82-4da4-bc38-f2ea499da216.wav,F,,positive,happy
positive/happy/7a4dde9b-aebb-42b1-b053-f300343707c6.wav,F,,positive,happy
positive/happy/83fb5d00-d57f-449c-9064-0a12b8ab98e7.wav,F,,positive,happy
positive/happy/bd25467b-aff1-4175-a491-297354d71e32.wav,F,,positive,happy
positive/happy/37070034-62ba-4292-9a74-7cfb8ab16cd4.wav,F,,positive,happy
positive/happy/14395a39-a353-4e75-9e14-de59583e0c6c.wav,F,,positive,happy
positive/happy/2abdcad1-f0d9-4e58-9273-81266cbf43a5.wav,F,,positive,happy
positive/happy/9549c74a-d4c7-4a77-b4ef-044086194c2b.wav,F,,positive,happy
positive/happy/73a8a4a4-5e54-4bf7-8d3e-1548b0308b60.wav,F,,positive,happy
positive/happy/43a37067-95a2-4381-a902-6afd8570780c.wav,F,,positive,happy
positive/happy/111f1e73-f9ea-4e61-8261-d8935b3dc3ba.wav,F,,positive,happy
positive/happy/ed1512ab-53fe-49f7-884f-add857ae658b.wav,F,,positive,happy
positive/happy/f3f4b5a6-061b-47ce-8694-52ff6462b5e5.wav,F,,positive,happy
positive/happy/a9595c70-f4b8-47a5-8b27-fbe1ac1ec8f9.wav,F,,positive,happy
positive/happy/ead243c8-0931-4323-baaf-6657c03a72e6.wav,F,,positive,happy
positive/happy/7dc44699-dc3e-401d-a15a-7076cd55dea3.wav,F,,positive,happy
positive/happy/1467a384-5cba-42c1-b9fc-6a8f7e200f6e.wav,F,,positive,happy
positive/happy/7931a5dc-fd26-4f69-80e7-a4428dc36526.wav,F,,positive,happy
positive/happy/4117dc09-04e1-4e6c-958e-0e760f6060ab.wav,F,,positive,happy
positive/happy/c1352cdf-9ded-4369-b904-a44718169d71.wav,F,,positive,happy
positive/happy/21731502-b16c-4759-8cae-861a623c2df1.wav,F,,positive,happy
positive/happy/5f331c61-8968-4082-befa-f321de4ac2e6.wav,F,,positive,happy
positive/happy/add443b4-6d41-4229-bb0f-20db9aa3f542.wav,F,,positive,happy
positive/happy/c2797b4b-3170-4f04-b093-79d1e75f242e.wav,F,,positive,happy
positive/happy/ca410389-c23b-439b-85a5-94bb7baacc75.wav,M,,positive,happy
positive/happy/454d77aa-c419-4e90-b1df-2f8e1c643acf.wav,M,,positive,happy
positive/happy/7b3ac269-ef99-4f69-8d14-42978bfe802a.wav,M,,positive,happy
positive/happy/bd7164f9-8dc8-4421-aca9-96b7a99d8796.wav,M,,positive,happy
positive/happy/54df82d1-65e8-488d-ab42-6ae90a74f6b0.wav,M,,positive,happy
positive/happy/5f899bf7-e505-4c2f-a5f6-74a1697bfad4.wav,M,,positive,happy
positive/happy/babf3e00-2d99-4e04-a8ce-548d49cce78d.wav,M,,positive,happy
positive/happy/78c6903e-059e-4d70-88cd-9f97387b221d.wav,M,,positive,happy
positive/happy/56f54eed-44eb-4e2a-a05b-2d1cbe75f9e0.wav,M,,positive,happy
positive/happy/efb0e808-d848-4d4a-a977-07225d821f09.wav,M,,positive,happy
positive/happy/a2bae74d-4aad-44d7-9970-95e1aa55cf99.wav,M,,positive,happy
positive/happy/8a27e897-0bc6-4980-b981-902b4e824eb7.wav,M,,positive,happy
positive/happy/bb542c0e-a399-4485-9045-398766a00830.wav,M,,positive,happy
positive/happy/857f15d1-574e-4d5c-a182-7fd45e415ecc.wav,M,,positive,happy
positive/happy/30dca64f-ec7b-4cc4-9ff8-4473bbfc12af.wav,M,,positive,happy
positive/happy/e3697371-6dbd-4e6c-84c9-7d77e1e650ff.wav,M,,positive,happy
positive/happy/a451570b-9969-4798-914a-7f672b873c37.wav,M,,positive,happy
positive/happy/c2665e66-15fe-45dc-9376-c77d2d1cd6b4.wav,M,,positive,happy
positive/happy/7fdf0105-bc17-4df5-86ae-13833dcb6da4.wav,M,,positive,happy
positive/happy/211cb8c5-4730-4ab0-8b63-718659f5318c.wav,M,,positive,happy
positive/happy/afbe9d53-5101-42c9-a1d7-1a02e6487266.wav,M,,positive,happy
positive/happy/38b495e2-d66c-4992-ac5e-f6be40f51b0f.wav,M,,positive,happy
positive/happy/2a977615-d216-408e-a7b8-b0b5904f6368.wav,M,,positive,happy
positive/happy/212ce704-d83c-494b-9d8a-067ed2e2a410.wav,M,,positive,happy
positive/happy/ee13e1e6-1765-4c6b-a235-3e06ee8c4f5f.wav,M,,positive,happy
positive/happy/e88be7ab-b13a-424c-b124-f6bb9786ddba.wav,M,,positive,happy
positive/happy/4473bab7-791f-4faa-8637-5f2dd8a0b212.wav,M,,positive,happy
positive/happy/eee72eb1-cf53-417d-a528-63d2062ff416.wav,M,,positive,happy
positive/happy/e4ed70c9-800b-429b-a9d1-27438cbebe88.wav,M,,positive,happy
positive/happy/1c2789dc-fdb4-447f-9204-e0c8ee2cf6ac.wav,M,,positive,happy
positive/happy/3fe85708-80e1-4c13-978f-9619b185f27b.wav,M,,positive,happy
positive/happy/a88f659c-437d-4204-8d52-6dea5d2ed32b.wav,M,,positive,happy
positive/happy/dd962add-eea8-4310-9287-bc34b1ab112e.wav,M,,positive,happy
positive/happy/884d98c3-1f41-487b-aa9d-104d100f2d69.wav,M,,positive,happy
positive/happy/d512bb79-dfd0-4f02-85bc-2153259729c6.wav,M,,positive,happy
positive/happy/c4660dcc-9221-44b9-9e97-38b85c767f8f.wav,M,,positive,happy
positive/happy/f86573de-e22a-4a7d-a497-c49747fb1669.wav,M,,positive,happy
positive/happy/962cec50-8dc0-4dee-9fe9-e78a30c015d6.wav,M,,positive,happy
positive/happy/aa575453-9053-441a-82bd-0256628fcb9f.wav,M,,positive,happy
positive/happy/ad752073-3bfe-48d4-bdbe-266165ddbbd7.wav,M,,positive,happy
positive/happy/1f3d0d04-503c-43a6-9e63-a55c952f8aae.wav,M,,positive,happy
positive/happy/19628407-b862-4690-9205-2cd5aeb16080.wav,M,,positive,happy
positive/happy/e4d75255-5b79-4fad-bc67-56b1bed78620.wav,M,,positive,happy
positive/happy/aab5d3ca-fa50-40d1-b06b-c2aa06dc94fd.wav,M,,positive,happy
positive/happy/c0fefca7-68b5-40b6-9e34-c478a4e6706f.wav,M,,positive,happy
positive/happy/86590050-c4cd-4e09-9ee8-7efc3fc61ce6.wav,M,,positive,happy
positive/happy/80994d49-d8ac-45f9-89d5-e0126a2fc2b1.wav,M,,positive,happy
positive/happy/48824d99-07c2-4b70-9fa7-9098f7ffc8b1.wav,M,,positive,happy
positive/happy/bf8bd00a-887c-4505-878b-3418798cea9c.wav,M,,positive,happy
positive/happy/1c0ef1f0-eb52-44dc-a42d-ecf896d3b2df.wav,M,,positive,happy
